"SP1","SP2","DISTANCE"
"colchica","cristatus",346.14965
"colchica","montandoni",346.1496505
"colchica","vulgaris",346.1496505
"colchica","glareolus",316.6399
"colchica","rutilus",316.6399
"colchica","bocagei",185.83245
"colchica","guadarramae",185.83245
"colchica","virescens",185.83245
"colchica","hispanicus",185.83245
"colchica","vaucheri",185.83245
"colchica","carbonelli",185.83245
"colchica","liolepis",185.83245
"colchica","natrix",179.30235
"colchica","astreptophora",179.30235
"colchica","helvetica",179.30235
"colchica","colchica",0
"colchica","fragilis",4.1
"colchica","orbicularis",294.428
"colchica","trinacris",294.428
"colchica","varius",294.42815
"colchica","ruber",294.42815
"colchica","nuchalis",294.42815
"colchica","salar",449.07265
"colchica","trutta",449.07265
"colchica","senegalensis",449.07265
"colchica","aegyptiaca",449.07265
"fragilis","bombina",346.14975
"fragilis","variegata",346.14975
"fragilis","marmoratus",346.14965
"fragilis","pygmaeus",346.14965
"fragilis","ivanbureschi",346.14965
"fragilis","anatolicus",346.14965
"fragilis","macedonicus",346.14965
"fragilis","cristatus",346.14965
"fragilis","montandoni",346.1496505
"fragilis","vulgaris",346.1496505
"fragilis","glareolus",316.6399
"fragilis","rutilus",316.6399
"fragilis","bocagei",185.83245
"fragilis","guadarramae",185.83245
"fragilis","virescens",185.83245
"fragilis","hispanicus",185.83245
"fragilis","vaucheri",185.83245
"fragilis","carbonelli",185.83245
"fragilis","liolepis",185.83245
"fragilis","natrix",179.30235
"fragilis","astreptophora",179.30235
"fragilis","helvetica",179.30235
"fragilis","colchica",4.1
"fragilis","fragilis",0
"fragilis","orbicularis",294.428
"fragilis","trinacris",294.428
"fragilis","varius",294.42815
"fragilis","ruber",294.42815
"fragilis","nuchalis",294.42815
"fragilis","salar",449.07265
"fragilis","trutta",449.07265
"fragilis","senegalensis",449.07265
"fragilis","aegyptiaca",449.07265
"orbicularis","bombina",346.14975
"orbicularis","variegata",346.14975
"orbicularis","marmoratus",346.14965
"orbicularis","pygmaeus",346.14965
"orbicularis","ivanbureschi",346.14965
"orbicularis","anatolicus",346.14965
"orbicularis","macedonicus",346.14965
"orbicularis","cristatus",346.14965
"orbicularis","montandoni",346.1496505
"orbicularis","vulgaris",346.1496505
"orbicularis","glareolus",316.6399
"orbicularis","rutilus",316.6399
"orbicularis","bocagei",294.42815
"orbicularis","guadarramae",294.42815
"orbicularis","virescens",294.42815
"orbicularis","hispanicus",294.42815
"orbicularis","vaucheri",294.42815
"orbicularis","carbonelli",294.42815
"orbicularis","liolepis",294.42815
"orbicularis","natrix",294.42795
"orbicularis","astreptophora",294.42795
"orbicularis","helvetica",294.42795
"orbicularis","colchica",294.428
"orbicularis","fragilis",294.428
"orbicularis","orbicularis",0
"orbicularis","trinacris",5
"orbicularis","varius",281.71465
"orbicularis","ruber",281.71465
"orbicularis","nuchalis",281.71465
"orbicularis","salar",449.07265
"orbicularis","trutta",449.07265
"orbicularis","senegalensis",449.07265
"orbicularis","aegyptiaca",449.07265
"trinacris","bombina",346.14975
"trinacris","variegata",346.14975
"trinacris","marmoratus",346.14965
"trinacris","pygmaeus",346.14965
"trinacris","ivanbureschi",346.14965
"trinacris","anatolicus",346.14965
"trinacris","macedonicus",346.14965
"trinacris","cristatus",346.14965
"trinacris","montandoni",346.1496505
"trinacris","vulgaris",346.1496505
"trinacris","glareolus",316.6399
"trinacris","rutilus",316.6399
"trinacris","bocagei",294.42815
